index;value
1986 Apr;1605,22823
1986 May;1542,58402
1986 Jun;1515,03835
1986 Jul;1511,38688
1986 Aug;1449,31785
1986 Sep;1431,35295
1986 Oct;1339,73956
1986 Nov;1354,32588
1986 Dec;1630,69463
1987 Jan;1563,22410
1987 Feb;1506,79825
1987 Mar;1519,81618
1987 Apr;1534,96042
1987 May;1478,27871
1987 Jun;1441,99117
1987 Jul;1500,47725
1987 Aug;1342,10640
1987 Sep;1399,25605
1987 Oct;1423,23945
1987 Nov;1363,70490
1987 Dec;1668,28582
1988 Jan;1620,46808
1988 Feb;1628,53274
1988 Mar;1607,42232
1988 Apr;1593,67543
1988 May;1523,37677
1988 Jun;1532,77483
1988 Jul;1553,67916
1988 Aug;1526,07937
1988 Sep;1503,16244
1988 Oct;1475,60231
1988 Nov;1458,85921
1988 Dec;1623,36061
1989 Jan;1624,48252
1989 Feb;1681,76606
1989 Mar;1658,31946
1989 Apr;1620,84722
1989 May;1657,16283
1989 Jun;1609,27086
1989 Jul;1584,61668
1989 Aug;1516,53645
1989 Sep;1498,78089
1989 Oct;1476,32725
1989 Nov;1473,10120
1989 Dec;1682,60534
1990 Jan;1697,83215
1990 Feb;1541,69760
1990 Mar;1550,64960
1990 Apr;1590,10650
1990 May;1554,45190
1990 Jun;1519,21370
1990 Jul;1566,50770
1990 Aug;1427,83565
1990 Sep;1387,22290
1990 Oct;1318,71120
1990 Nov;1373,41120
1990 Dec;1539,50590
1991 Jan;1467,43040
1991 Feb;1316,67000
1991 Mar;1304,24210
1991 Apr;1275,78530
1991 May;1247,12830
1991 Jun;1145,84390
1991 Jul;1116,62820
1991 Aug;1128,99220
1991 Sep;1124,10850
1991 Oct;1117,56210
1991 Nov;1091,61060
1991 Dec;1238,04390
1992 Jan;1176,96790
1992 Feb;1087,84840
1992 Mar;1139,88840
1992 Apr;1098,93960
1992 May;1066,89980
1992 Jun;1014,08055
1992 Jul;1058,21820
1992 Aug;1039,54010
1992 Sep;1044,07370
1992 Oct;1009,83290
1992 Nov;983,53750
1992 Dec;1234,44369
1993 Jan;1215,14610
1993 Feb;1119,30090
1993 Mar;1019,02900
1993 Apr;1055,09780
1993 May;1063,42260
1993 Jun;1061,98670
1993 Jul;1011,08540
1993 Aug;944,69130
1993 Sep;935,14750
1993 Oct;909,01210
1993 Nov;959,25650
1993 Dec;1094,03050
1994 Jan;1070,42720
1994 Feb;990,49740
1994 Mar;968,13040
1994 Apr;924,42510
1994 May;937,41330
1994 Jun;922,08630
1994 Jul;996,76880
1994 Aug;990,12970
1994 Sep;956,53150
1994 Oct;938,23263
1994 Nov;1005,90460
1994 Dec;1236,09090
1995 Jan;1191,67780
1995 Feb;1062,46297
1995 Mar;1065,62423
1995 Apr;1082,83951
1995 May;1026,15709
1995 Jun;995,08670
1995 Jul;995,57379
1995 Aug;959,69110
1995 Sep;1020,96760
1995 Oct;1018,11810
1995 Nov;1002,51630
1995 Dec;1249,37360
1996 Jan;1242,22430
1996 Feb;1083,08040
1996 Mar;1026,36190
1996 Apr;996,91440
1996 May;1043,45140
1996 Jun;973,04130
1996 Jul;956,31010
1996 Aug;943,23820
1996 Sep;980,26380
1996 Oct;934,94600
1996 Nov;949,24300
1996 Dec;1214,79070
1997 Jan;1215,97380
1997 Feb;1058,90430
1997 Mar;994,77510
1997 Apr;998,23080
1997 May;948,70320
1997 Jun;894,99550
1997 Jul;940,03870
1997 Aug;865,03295
1997 Sep;931,00000
1997 Oct;885,88040
1997 Nov;991,61500
1997 Dec;1182,07940
1998 Jan;1117,31670
1998 Feb;995,13760
1998 Mar;1030,28870
1998 Apr;1031,25840
1998 May;931,54410
1998 Jun;952,20480
1998 Jul;953,62120
1998 Aug;884,31360
1998 Sep;968,16530
1998 Oct;944,80190
1998 Nov;935,06770
1998 Dec;1101,21760
1999 Jan;1098,62430
1999 Feb;1013,33930
1999 Mar;971,75290
1999 Apr;989,18960
1999 May;981,19700
1999 Jun;919,28940
1999 Jul;940,47570
1999 Aug;875,79132
1999 Sep;950,99420
1999 Oct;973,75720
1999 Nov;985,79290
1999 Dec;1264,57040
2000 Jan;1296,06440
2000 Feb;1143,19210
2000 Mar;1068,08290
2000 Apr;1084,57830
2000 May;1078,47726
2000 Jun;1062,51233
2000 Jul;1012,02476
2000 Aug;994,84110
2000 Sep;991,09250
2000 Oct;912,47350
2000 Nov;991,34350
2000 Dec;1240,69750
2001 Jan;1158,61960
2001 Feb;946,70700
2001 Mar;978,58720
2001 Apr;975,68400
2001 May;952,46730
2001 Jun;967,01280
2001 Jul;916,55130
2001 Aug;923,39480
2001 Sep;882,19760
2001 Oct;889,54330
2001 Nov;930,85860
2001 Dec;1117,99930
2002 Jan;1066,68470
2002 Feb;1081,61820
2002 Mar;945,49300
2002 Apr;914,97050
2002 May;984,56250
2002 Jun;940,22280
2002 Jul;1015,67150
2002 Aug;961,05790
2002 Sep;956,25560
2002 Oct;875,19610
2002 Nov;991,82320
2002 Dec;1278,52110
2003 Jan;1154,87540
2003 Feb;1104,87980
2003 Mar;1029,04630
2003 Apr;1059,21230
2003 May;1049,07180
2003 Jun;972,74490
2003 Jul;986,85650
2003 Aug;948,89710
2003 Sep;926,18240
2003 Oct;898,75990
2003 Nov;1036,22980
2003 Dec;1262,05500
2004 Jan;1164,34290
2004 Feb;1065,55510
2004 Mar;1052,45970
2004 Apr;1033,37230
2004 May;978,89070
2004 Jun;996,25620
2004 Jul;990,07190
2004 Aug;892,07630
2004 Sep;880,06610
2004 Oct;884,17820
2004 Nov;1005,78520
2004 Dec;1202,06560
2005 Jan;1137,36250
2005 Feb;1085,04000
2005 Mar;1042,36660
2005 Apr;1050,61332
2005 May;968,80890
2005 Jun;976,64680
2005 Jul;1004,35850
2005 Aug;931,00490
2005 Sep;918,41080
2005 Oct;853,62520
2005 Nov;1043,47800
2005 Dec;1150,78060
2006 Jan;1098,06990
2006 Feb;1045,75890
2006 Mar;935,78380
2006 Apr;890,21290
2006 May;878,93180
2006 Jun;893,53350
2006 Jul;909,60430
2006 Aug;833,55380
2006 Sep;884,60670
2006 Oct;885,10560
2006 Nov;960,07200
2006 Dec;1248,59590
2007 Jan;1078,60020
2007 Feb;1010,52660
2007 Mar;1002,45960
2007 Apr;1004,17420
2007 May;902,10100
2007 Jun;867,42930
2007 Jul;838,88040
