index;value
1998 Oct;2383,38562
1998 Nov;2691,53925
1998 Dec;2865,88373
1999 Jan;2899,23432
1999 Feb;2943,13238
1999 Mar;2969,79767
1999 Apr;3247,99280
1999 May;2851,08186
1999 Jun;2939,85415
1999 Jul;2922,61842
1999 Aug;2960,18410
1999 Sep;3093,43906
1999 Oct;3326,94247
1999 Nov;3232,21271
1999 Dec;3277,00420
2000 Jan;3170,09099
2000 Feb;3376,32876
2000 Mar;3317,96357
2000 Apr;3146,43084
2000 May;3271,61227
2000 Jun;3309,01671
2000 Jul;3240,20334
2000 Aug;3181,41802
2000 Sep;3363,28493
2000 Oct;3417,11564
2000 Nov;3572,58256
2000 Dec;3587,59249
2001 Jan;3497,27069
2001 Feb;3351,36460
2001 Mar;3778,60751
2001 Apr;3531,88963
2001 May;3148,67781
2001 Jun;3379,15975
2001 Jul;3310,51758
2001 Aug;3306,41240
2001 Sep;3154,99403
2001 Oct;3059,60691
2001 Nov;3313,89655
2001 Dec;3207,35870
2002 Jan;3170,23903
2002 Feb;2928,99278
2002 Mar;3110,04010
2002 Apr;3177,58857
2002 May;3066,06210
2002 Jun;3162,83023
2002 Jul;3251,11872
2002 Aug;3018,11270
2002 Sep;3341,74880
2002 Oct;3378,09000
2002 Nov;3416,68780
2002 Dec;3446,95650
2003 Jan;3628,52750
2003 Feb;3732,82711
2003 Mar;4014,25850
2003 Apr;3826,67550
2003 May;3852,63730
2003 Jun;3771,81410
2003 Jul;3507,95700
2003 Aug;3410,57940
2003 Sep;3322,43600
2003 Oct;3498,72320
2003 Nov;3527,23260
2003 Dec;3182,30410
2004 Jan;3242,59470
2004 Feb;3449,21020
2004 Mar;3694,41190
2004 Apr;3284,54110
2004 May;3293,04890
2004 Jun;3285,63660
2004 Jul;3113,54830
2004 Aug;3097,85960
2004 Sep;3260,69120
2004 Oct;2972,78720
2004 Nov;3078,32570
2004 Dec;3455,04839
2005 Jan;3335,60650
2005 Feb;3395,27940
2005 Mar;3537,60540
2005 Apr;3389,49600
2005 May;3507,26040
2005 Jun;3654,71009
2005 Jul;3715,31390
2005 Aug;3490,22000
2005 Sep;3512,27280
2005 Oct;3443,68760
2005 Nov;3510,05440
2005 Dec;3795,28890
2006 Jan;3685,59760
2006 Feb;3609,90590
2006 Mar;3623,10920
2006 Apr;3929,23070
2006 May;3688,04330
2006 Jun;4036,60870
2006 Jul;3937,40150
2006 Aug;3939,80120
2006 Sep;3980,36570
2006 Oct;4163,89030
2006 Nov;4021,43560
2006 Dec;4293,79810
2007 Jan;4183,46110
2007 Feb;4186,34210
2007 Mar;3830,14620
2007 Apr;4490,25901
2007 May;4240,41160
2007 Jun;4372,07490
2007 Jul;4357,24990
2007 Aug;4083,38566
2007 Sep;4036,71155
2007 Oct;3707,67769
2007 Nov;3944,59842
2007 Dec;3958,52330
2008 Jan;3792,83017
2008 Feb;3493,03740
2008 Mar;3589,19870
2008 Apr;3668,71770
2008 May;3416,88740
2008 Jun;3204,88020
2008 Jul;3452,12840
2008 Aug;3488,80740
2008 Sep;3701,24730
2008 Oct;3937,36260
2008 Nov;3866,74220
2008 Dec;3981,24500
2009 Jan;3709,88000
2009 Feb;3698,68900
2009 Mar;3791,32660
2009 Apr;3648,95450
2009 May;3617,29180
2009 Jun;3420,11110
2009 Jul;3281,10550
2009 Aug;3061,95810
2009 Sep;3419,79540
2009 Oct;2881,06090
2009 Nov;3405,52060
2009 Dec;3499,10310
2010 Jan;3101,19880
2010 Feb;2997,98668
2010 Mar;3061,16710
2010 Apr;3179,99200
2010 May;3071,49960
2010 Jun;3279,27810
2010 Jul;3039,91470
2010 Aug;2925,51080
2010 Sep;3193,41160
2010 Oct;3162,52890
2010 Nov;3353,26160
2010 Dec;3388,87290
2011 Jan;3452,60380
2011 Feb;3533,88340
2011 Mar;3816,88570
2011 Apr;3439,90030
2011 May;2972,63060
2011 Jun;3495,52880
2011 Jul;3110,38770
2011 Aug;2995,00360
2011 Sep;2986,54530
2011 Oct;3301,16540
2011 Nov;3445,52070
2011 Dec;3710,42930
2012 Jan;3734,57830
2012 Feb;3195,07058
2012 Mar;3354,79280
2012 Apr;3441,99310
2012 May;3446,57960
2012 Jun;3252,86850
2012 Jul;3139,42320
2012 Aug;3304,70490
2012 Sep;3406,37010
2012 Oct;3318,78100
2012 Nov;3234,54874
2012 Dec;3679,55042
2013 Jan;3874,58467
2013 Feb;3625,66720
2013 Mar;4137,29830
2013 Apr;4082,64340
2013 May;3870,34080
2013 Jun;4495,28250
2013 Jul;4112,51330
2013 Aug;4406,11950
2013 Sep;4352,87860
2013 Oct;4269,91640
2013 Nov;4083,98010
2013 Dec;4065,65830
2014 Jan;4152,43120
2014 Feb;4222,25980
2014 Mar;4080,59390
2014 Apr;4058,61670
2014 May;4165,48420
2014 Jun;4105,21270
2014 Jul;4177,78830
2014 Aug;4113,91810
2014 Sep;4059,44310
2014 Oct;4049,39120
2014 Nov;4247,25730
2014 Dec;4443,38360
2015 Jan;4583,37380
2015 Feb;4973,53610
2015 Mar;4919,11410
2015 Apr;4674,41820
2015 May;4889,80450
2015 Jun;4705,99160
2015 Jul;4780,04960
