index;value
11411;8212,9
11412;8063,3
11413;7755,8
11414;7819,3
11415;8034,8
11416;7869,9
11417;8105,4
11418;8052,4
11419;7714,5
11420;7776,1
11421;7798,3
11422;8139,9
11423;8112,4
11424;7799,4
11425;7736,4
11426;7849,6
11427;7718,2
11428;7909,3
11429;7903,7
11430;8065,1
11431;8080,3
11432;8024,9
11433;7904,4
11434;7847,3
11435;7975,9
11436;8026,9
11437;8018,0
11438;7929,0
11439;7852,2
11440;7854,6
11441;7917,6
11442;7869,7
11443;8114,0
11444;8164,0
11445;8065,0
11446;8179,5
11447;8154,3
11448;8108,5
11449;8093,0
11450;8004,1
11451;8152,8
11452;8189,7
11453;8321,8
11454;8390,2
11455;8501,8
11456;8569,2
11457;8389,8
11458;8370,9
11459;8221,2
11460;8147,6
11461;8067,4
11462;7998,0
11463;8022,1
11464;8076,9
11465;8134,0
11466;8226,7
11467;8354,3
11468;8404,7
11469;8134,7
11470;8041,1
11471;7949,0
11472;7902,9
11473;8178,4
11474;7919,7
11475;8019,1
11476;7910,4
11477;7857,0
11478;7880,5
11479;7981,8
11480;7921,1
11481;7907,3
11482;7802,8
11483;7848,2
11484;7814,3
11485;7903,8
11486;8046,7
11487;8076,4
11488;8248,2
11489;8080,4
11490;7925,8
11491;8028,5
11492;8059,0
11493;8102,1
11494;8172,7
11495;8258,5
11496;8062,7
11497;7973,6
11498;8024,7
11499;7970,1
11500;8028,5
11501;7871,1
11502;7998,8
11503;8039,3
11504;8062,3
11505;8007,8
11506;7876,9
11507;7932,4
11508;7728,3
11509;7828,2
11510;7765,3
11511;7874,4
11512;7893,1
11513;7973,7
11514;8022,9
11515;7894,0
11516;7851,6
11517;7741,5
11518;7696,1
11519;7938,4
11520;8058,4
11521;7875,8
11522;7743,3
11523;7937,3
11524;8035,4
11525;7999,3
11526;7922,2
11527;7834,2
11528;7752,9
11529;7685,9
11530;7802,7
11531;8005,3
11532;8327,9
11533;8322,5
11534;8365,1
11535;8420,8
11536;8349,9
11537;8244,1
11538;8196,2
11539;8123,6
11540;8211,0
11541;8333,4
11542;8270,3
11543;8245,8
11544;8156,4
11545;8247,2
11546;8198,1
11547;8198,7
11548;8229,8
11549;8364,4
11550;8309,0
11551;8294,4
11552;8402,4
11553;8417,2
11554;8280,0
11555;8203,3
11556;8175,5
11557;8177,4
11558;8166,3
11559;8175,3
11560;8183,6
11561;8100,7
11562;8058,0
11563;8035,5
11564;7961,3
11565;8001,4
11566;7994,8
11567;8039,5
11568;8021,4
11569;8096,6
11570;8157,3
11571;8318,1
11572;8329,4
11573;8387,2
11574;8257,5
11575;8214,1
11576;8322,8
11577;8275,2
11578;8371,8
11579;8379,1
11580;8327,1
11581;8291,9
11582;8357,6
11583;8234,7
11584;8068,1
11585;7899,7
11586;7869,0
11587;7895,2
11588;8007,5
11589;8077,8
11590;8198,4
11591;8318,8
11592;8303,5
11593;8313,7
11594;8357,3
11595;8332,3
11596;8294,9
11597;8207,7
11598;8094,1
11599;8005,7
11600;7910,4
11601;7903,6
11602;7809,1
11603;7784,1
11604;7905,4
11605;7972,5
11606;7979,7
11607;7984,5
11608;8012,6
11609;7997,1
11610;7933,4
11611;7952,8
11612;8035,8
11613;7906,5
11614;7915,4
11615;7868,8
11616;7888,2
11617;8000,3
11618;8071,6
11619;8058,2
11620;7872,2
11621;7970,1
11622;7867,6
11623;7805,0
11624;7886,1
11625;7934,5
11626;8066,6
11627;8081,5
11628;7933,2
11629;7935,0
11630;7796,6
11631;7950,4
11632;7904,3
11633;8019,4
11634;7982,5
11635;7988,7
11636;8005,2
11637;7921,9
11638;8010,5
11639;8029,6
11640;7899,0
11641;7987,6
11642;7919,6
11643;7907,4
11644;7952,8
11645;7995,1
11646;8067,7
11647;8013,6
11648;8042,5
11649;8022,9
11650;8057,0
11651;7760,7
11652;7807,2
11653;7796,6
11654;7708,6
11655;7743,1
11656;7749,2
11657;7672,7
11658;7693,4
11659;7632,5
11660;7633,6
11661;7492,0
11662;7417,6
11663;7450,2
11664;7422,6
11665;7499,7
11666;7344,9
11667;7381,9
11668;7433,4
11669;7486,0
11670;7325,5
11671;7447,5
11672;7407,0
11673;7295,7
11674;7230,6
11675;7142,6
11676;7151,2
11677;7080,1
11678;7030,4
11679;7067,7
11680;7148,3
11681;7166,2
11682;7046,6
11683;6921,2
11684;6808,8
11685;7010,0
11686;6853,7
11687;6786,1
11688;6832,0
11689;6925,8
11690;6799,2
11691;6735,4
11692;6860,0
11693;6749,0
11694;6672,7
11695;6687,0
11696;6819,1
11697;6699,5
11698;6624,1
11699;6617,0
11700;6596,8
11701;6549,1
11702;6323,8
11703;6263,8
11704;6310,3
11705;6128,5
11706;6207,1
11707;6310,4
11708;6062,3
11709;6039,1
11710;6104,2
11711;6194,8
11712;6366,6
11713;6282,3
11714;6242,3
11715;6081,3
11716;5851,8
11717;5914,5
11718;5800,5
11719;6037,9
11720;6128,8
11721;6003,7
11722;5801,0
11723;5632,4
11724;5677,2
11725;5921,3
11726;5771,3
11727;5474,0
11728;5228,0
11729;5418,7
11730;5469,5
11731;5325,2
11732;5325,0
11733;5506,0
11734;5215,5
11735;4992,6
11736;4958,2
11737;5010,2
11738;5269,1
11739;5462,0
11740;5644,0
11741;5830,1
11742;5878,3
11743;6038,4
11744;5878,6
11745;5865,9
11746;5742,0
11747;5833,6
11748;5965,5
11749;6194,1
11750;6185,0
11751;6150,2
11752;5961,7
11753;6180,5
11754;6146,4
11755;6049,2
11756;6189,2
11757;6080,4
11758;6194,3
11759;6414,9
11760;6257,9
11761;6285,4
11762;6022,3
11763;5979,8
11764;5975,7
11765;5987,2
11766;5762,0
11767;5944,3
11768;5907,5
11769;5863,8
11770;5931,6
11771;5961,4
11772;5969,2
11773;5812,4
11774;5866,3
11775;5926,7
11776;5811,3
11777;5820,5
11778;5646,6
11779;5700,7
11780;5674,9
11781;5668,6
11782;5818,6
11783;5930,6
11784;5721,8
11785;5713,1
11786;5860,3
11787;5846,0
11788;5805,6
11789;5631,2
11790;5593,5
11791;5776,1
11792;5678,3
11793;5768,1
11794;5816,3
11795;5990,5
11796;6112,1
11797;6068,2
11798;6126,6
11799;6150,5
11800;6105,7
11801;6030,6
11802;5989,3
11803;5877,9
11804;5976,2
11805;5894,1
11806;5837,7
11807;5953,7
11808;5888,9
11809;5889,0
11810;5894,6
11811;5964,9
11812;6054,1
11813;5980,1
11814;5961,8
11815;5905,9
11816;5954,6
11817;5872,8
11818;5934,2
11819;5974,3
11820;5976,6
11821;6015,7
11822;6059,7
11823;6069,8
11824;6030,4
11825;6049,6
11826;5932,5
11827;6077,4
11828;6007,0
11829;5971,1
11830;5938,2
11831;5952,2
11832;5934,4
11833;5949,3
11834;5903,4
11835;5963,2
11836;5948,9
11837;5844,6
11838;5798,9
11839;5856,0
11840;5812,2
11841;5767,1
11842;5714,7
11843;5786,6
11844;5858,5
11845;5846,1
11846;5759,7
11847;5701,8
11848;5719,8
11849;5768,0
11850;5902,3
11851;5921,3
11852;5891,8
11853;5833,6
11854;5761,0
11855;5836,6
11856;5769,7
11857;5760,8
11858;5762,2
11859;5689,6
11860;5663,3
11861;5602,2
11862;5593,6
11863;5615,0
11864;5584,7
11865;5444,6
11866;5339,6
11867;5452,3
11868;5479,7
11869;5404,1
11870;5505,0
11871;5529,0
11872;5387,6
11873;5360,4
11874;5349,6
11875;5335,6
11876;5380,4
11877;5337,8
11878;5279,7
11879;5165,6
11880;5241,7
11881;5393,2
11882;5317,2
11883;5237,3
11884;5308,4
11885;5152,4
11886;5177,1
11887;5129,1
11888;5231,9
11889;5222,7
11890;5134,3
11891;5079,3
11892;5130,1
11893;5136,9
11894;5210,5
11895;5103,4
11896;5132,5
11897;5238,6
11898;5306,4
11899;5240,2
11900;5447,2
11901;5490,4
11902;5587,8
11903;5556,4
11904;5721,6
11905;5510,8
11906;5599,2
11907;5521,9
11908;5540,8
11909;5549,6
11910;5455,3
11911;5525,1
11912;5643,6
11913;5617,3
11914;5639,1
11915;5604,5
11916;5589,5
11917;5480,1
11918;5474,0
11919;5451,9
11920;5547,1
11921;5518,5
11922;5331,7
11923;5374,1
11924;5381,6
11925;5423,8
11926;5525,7
11927;5550,9
11928;5476,4
11929;5522,3
11930;5505,0
11931;5477,8
11932;5463,1
11933;5543,2
11934;5497,6
11935;5434,1
11936;5446,1
11937;5382,2
11938;5402,0
11939;5434,9
11940;5441,4
11941;5458,7
11942;5555,6
11943;5436,1
11944;5283,1
11945;5179,6
11946;5251,1
11947;5287,6
11948;5261,8
11949;5387,1
11950;5408,1
11951;5350,2
11952;5418,0
11953;5346,5
11954;5362,1
11955;5421,3
11956;5497,4
11957;5558,7
11958;5510,3
11959;5562,1
11960;5604,7
11961;5576,9
11962;5513,8
11963;5688,6
11964;5778,2
11965;5712,7
11966;5612,1
11967;5666,5
11968;5604,2
11969;5614,2
11970;5547,7
11971;5668,3
11972;5556,2
11973;5473,5
11974;5478,0
11975;5491,8
11976;5461,0
11977;5554,8
11978;5686,7
11979;5687,5
11980;5631,8
11981;5679,3
11982;5702,5
11983;5758,2
11984;5654,8
11985;5644,1
11986;5739,6
11987;5609,1
11988;5616,7
11989;5581,3
11990;5474,8
11991;5557,1
11992;5549,3
11993;5522,2
11994;5638,4
11995;5664,4
11996;5550,5
11997;5606,0
11998;5493,1
11999;5468,7
12000;5536,3
12001;5523,6
12002;5488,4
12003;5520,0
12004;5415,7
12005;5424,9
12006;5412,7
12007;5442,4
12008;5441,7
12009;5382,2
12010;5417,6
12011;5352,9
12012;5397,0
12013;5454,8
12014;5488,1
12015;5493,4
12016;5458,8
12017;5642,2
12018;5580,9
12019;5567,3
12020;5514,4
12021;5623,5
12022;5535,8
12023;5568,6
12024;5561,8
12025;5546,5
12026;5515,4
12027;5566,8
12028;5539,6
12029;5562,9
12030;5456,7
12031;5355,9
12032;5399,2
12033;5286,7
12034;5228,4
12035;5236,5
12036;5240,1
12037;5207,5
12038;5248,5
12039;5296,4
12040;5301,5
12041;5237,1
12042;5199,7
12043;5168,8
12044;5190,1
12045;5163,1
12046;5189,1
12047;5213,2
12048;5183,7
12049;5217,2
12050;5128,9
12051;5158,1
12052;5152,2
12053;4967,1
12054;5058,6
12055;5081,9
12056;5027,4
12057;5078,9
12058;5062,5
12059;5011,2
12060;5035,1
12061;5105,9
12062;5010,4
12063;4983,6
12064;5023,1
12065;4963,6
12066;4873,9
12067;4885,4
12068;4964,3
12069;5054,0
12070;5105,6
12071;5152,1
12072;5041,2
12073;5105,0
12074;5029,9
12075;4959,7
12076;5081,7
12077;5053,8
12078;5023,0
12079;5009,0
12080;5067,7
12081;5047,6
12082;5010,1
12083;5024,3
12084;4988,1
12085;4996,9
12086;4969,4
12087;4954,1
12088;5018,2
12089;5008,9
12090;4980,5
12091;5004,8
12092;5049,6
12093;5076,6
12094;5109,1
12095;5116,4
12096;5109,2
12097;5089,6
12098;5094,8
12099;5131,9
12100;5105,8
12101;5097,7
12102;5084,5
12103;5034,9
12104;5023,1
12105;5076,9
12106;5001,6
12107;4959,0
12108;4955,2
12109;4926,2
12110;4991,3
12111;5023,1
12112;5078,8
12113;5056,8
12114;5088,0
12115;5065,9
12116;5094,7
12117;5182,0
12118;5064,2
12119;5067,3
12120;5207,1
12121;5154,1
12122;5255,3
12123;5239,6
12124;5283,7
12125;5263,7
12126;5235,7
12127;5157,1
12128;5167,9
12129;5146,9
12130;5113,6
12131;5089,5
12132;5060,7
12133;5089,6
12134;5055,5
12135;5170,7
12136;5144,6
12137;5132,0
12138;5170,0
12139;5183,3
12140;5156,0
12141;5196,9
12142;5223,7
12143;5351,9
12144;5366,7
12145;5332,1
12146;5319,3
12147;5278,9
12148;5272,9
12149;5236,7
12150;5301,4
12151;5213,3
12152;5195,7
12153;5213,4
12154;5131,1
12155;5080,7
12156;4984,5
12157;5001,8
12158;5028,4
12159;5111,3
12160;5055,8
12161;5130,5
12162;5086,8
12163;5008,5
12164;5059,1
12165;5184,4
12166;5266,9
12167;5180,4
12168;5142,8
12169;5149,6
12170;5153,1
12171;5181,4
12172;5364,0
12173;5414,3
12174;5426,9
12175;5416,8
12176;5436,1
12177;5509,6
12178;5513,0
12179;5505,4
12180;5510,8
12181;5515,2
12182;5553,4
12183;5521,4
12184;5509,2
12185;5573,3
12186;5494,9
12187;5517,5
12188;5572,5
12189;5667,3
12190;5648,6
12191;5655,8
12192;5657,1
12193;5733,4
12194;5713,6
12195;5734,3
12196;5726,5
12197;5611,5
12198;5572,7
12199;5570,5
12200;5538,3
12201;5503,7
12202;5551,1
12203;5535,4
12204;5546,0
12205;5639,7
12206;5756,8
12207;5788,5
12208;5748,2
12209;5697,2
12210;5756,3
12211;5761,7
12212;5696,1
12213;5750,9
12214;5671,1
12215;5751,2
12216;5809,9
12217;5761,6
12218;5706,4
12219;5709,0
12220;5748,6
12221;5648,9
12222;5577,1
12223;5581,2
12224;5687,9
12225;5644,0
12226;5554,1
12227;5480,6
12228;5428,7
12229;5344,3
12230;5345,6
12231;5315,7
12232;5261,1
12233;5314,3
12234;5334,7
12235;5290,8
12236;5179,6
12237;5145,8
12238;5201,2
12239;5212,7
12240;5239,3
12241;5229,4
12242;5181,9
12243;5306,9
12244;5285,9
12245;5320,2
12246;5315,8
12247;5306,9
12248;5267,3
12249;5275,9
12250;5186,8
12251;5035,2
12252;5008,4
12253;5098,3
12254;5168,4
12255;5139,5
12256;5082,2
12257;5144,3
12258;5169,9
12259;5247,1
12260;5162,0
12261;5213,1
12262;5269,7
12263;5347,7
12264;5389,7
12265;5399,2
12266;5440,5
12267;5398,3
