index;value
1980 Jan;2251,79901
1980 Feb;2330,94498
1980 Mar;2268,33298
1980 Apr;2218,06793
1980 May;2296,11206
1980 Jun;2354,09302
1980 Jul;2222,91794
1980 Aug;2260,39703
1980 Sep;2097,47604
1980 Oct;2036,62796
1980 Nov;2235,70496
1980 Dec;2162,51205
1981 Jan;2173,75504
1981 Feb;2228,43002
1981 Mar;2217,18597
1981 Apr;2161,40900
1981 May;2082,04300
1981 Jun;1994,07898
1981 Jul;1865,54901
1981 Aug;1754,21600
1981 Sep;1798,74893
1981 Oct;1925,73502
1981 Nov;2011,05392
1981 Dec;2017,66800
1982 Jan;2027,58896
1982 Feb;2073,66501
1982 Mar;1949,76593
1982 Apr;1864,66797
1982 May;1869,07700
1982 Jun;1835,12604
1982 Jul;1757,30301
1982 Aug;1781,33301
1982 Sep;1913,39005
1982 Oct;2014,58206
1982 Nov;1977,98492
1982 Dec;2115,77393
1983 Jan;2168,46405
1983 Feb;2052,50107
1983 Mar;1977,76505
1983 Apr;2036,40701
1983 May;2006,86600
1983 Jun;1874,14703
1983 Jul;1938,30200
1983 Aug;2004,44110
1983 Sep;2144,87503
1983 Oct;2602,55402
1983 Nov;3478,44910
1983 Dec;3610,94700
1984 Jan;4287,54490
1984 Feb;3720,73700
1984 Mar;3672,01510
1984 Apr;3536,65100
1984 May;3554,50897
1984 Jun;3177,07790
1984 Jul;2876,14690
1984 Aug;2931,26310
1984 Sep;3417,16090
1984 Oct;3618,88400
1984 Nov;3431,27010
1984 Dec;3257,32600
1985 Jan;3153,26810
1985 Feb;2797,22200
1985 Mar;2430,15300
1985 Apr;2191,17200
1985 May;1655,89000
1985 Jun;1640,67790
1985 Jul;1564,39800
1985 Aug;1587,54700
1985 Sep;1619,07300
1985 Oct;1734,59500
1985 Nov;1775,16010
1985 Dec;1654,56700
1986 Jan;1801,83590
1986 Feb;1888,03600
1986 Mar;2015,02304
1986 Apr;2012,15700
1986 May;1888,91800
1986 Jun;1755,09800
1986 Jul;1762,59990
1986 Aug;1906,79990
1986 Sep;2027,59995
1986 Oct;2073,20010
1986 Nov;2062,59990
1986 Dec;1948,10000
1987 Jan;1977,80000
1987 Feb;1840,50000
1987 Mar;1832,00000
1987 Apr;1495,30000
1987 May;1441,49990
1987 Jun;1340,50000
1987 Jul;1532,50000
1987 Aug;1583,50010
1987 Sep;1602,10010
1987 Oct;1849,10000
1987 Nov;1924,10000
1987 Dec;2070,30000
1988 Jan;2123,20010
1988 Feb;1937,00000
1988 Mar;1916,60000
1988 Apr;1842,89990
1988 May;1707,59990
1988 Jun;1662,89990
1988 Jul;1461,99997
1988 Aug;1481,20000
1988 Sep;1645,90000
1988 Oct;1813,40000
1988 Nov;1926,39999
1988 Dec;1957,59995
1989 Jan;1930,29999
1989 Feb;1816,90002
1989 Mar;1780,00000
1989 Apr;1718,30002
1989 May;1691,00010
1989 Jun;1768,10000
1989 Jul;1937,30000
1989 Aug;1840,00000
1989 Sep;2147,40010
1989 Oct;2615,30000
1989 Nov;2353,10000
1989 Dec;2543,30000
1990 Jan;2529,29990
1990 Feb;2112,89990
1990 Mar;1926,00010
1990 Apr;1948,10000
1990 May;1870,20000
1990 Jun;1814,90010
1990 Jul;1897,89990
1990 Aug;1745,50000
1990 Sep;1852,50000
1990 Oct;2202,00000
1990 Nov;2286,00010
1990 Dec;2199,50000
1991 Jan;2361,90000
1991 Feb;2003,50010
1991 Mar;1847,40010
1991 Apr;1820,39990
1991 May;1734,87503
1991 Jun;1637,10010
1991 Jul;1523,46100
1991 Aug;1621,22500
1991 Sep;1742,91200
1991 Oct;1858,53500
