index;value
1988 Jan;680
1988 Feb;620
1988 Mar;670
1988 Apr;760
1988 May;570
1988 Jun;520
1988 Jul;580
1988 Aug;560
1988 Sep;830
1988 Oct;780
1988 Nov;720
1988 Dec;870
1989 Jan;490
1989 Feb;420
1989 Mar;180
1989 Apr;590
1989 May;480
1989 Jun;610
1989 Jul;620
1989 Aug;620
1989 Sep;410
1989 Oct;570
1989 Nov;470
1989 Dec;790
1990 Jan;600
1990 Feb;400
1990 Mar;930
1990 Apr;660
1990 May;1000
1990 Jun;530
1990 Jul;830
1990 Aug;740
1990 Sep;710
1990 Oct;990
1990 Nov;330
1990 Dec;670
1991 Jan;710
1991 Feb;550
1991 Mar;610
1991 Apr;640
1991 May;610
1991 Jun;640
1991 Jul;730
1991 Aug;900
1991 Sep;730
1991 Oct;1000
1991 Nov;470
1991 Dec;630
1992 Jan;540
1992 Feb;680
1992 Mar;530
1992 Apr;850
1992 May;660
1992 Jun;730
1992 Jul;580
1992 Aug;820
1992 Sep;1060
1992 Oct;1270
1992 Nov;700
1992 Dec;1020
1993 Jan;730
1993 Feb;980
1993 Mar;1180
1993 Apr;1400
1993 May;1070
1993 Jun;760
1993 Jul;900
1993 Aug;910
1993 Sep;1360
1993 Oct;1000
1993 Nov;1130
1993 Dec;940
1994 Jan;710
1994 Feb;870
1994 Mar;990
1994 Apr;1070
1994 May;730
1994 Jun;870
1994 Jul;870
1994 Aug;910
1994 Sep;1150
1994 Oct;960
1994 Nov;1150
1994 Dec;750
1995 Jan;670
1995 Feb;940
1995 Mar;1170
1995 Apr;1240
1995 May;880
1995 Jun;800
1995 Jul;1310
1995 Aug;1230
1995 Sep;1050
1995 Oct;810
1995 Nov;1060
1995 Dec;950
1996 Jan;900
1996 Feb;820
1996 Mar;1520
1996 Apr;940
1996 May;680
1996 Jun;1390
1996 Jul;980
1996 Aug;1680
1996 Sep;1230
1996 Oct;1270
1996 Nov;810
1996 Dec;780
1997 Jan;670
1997 Feb;700
1997 Mar;980
1997 Apr;730
1997 May;920
1997 Jun;1030
1997 Jul;800
1997 Aug;1030
