index;value
1997 Jan;973
1997 Feb;985
1997 Mar;1002
1997 Apr;1004
1997 May;1005
1997 Jun;1035
1997 Jul;1082
1997 Aug;944
1997 Sep;1030
1997 Oct;1112
1997 Nov;1057
1997 Dec;932
1998 Jan;1007
1998 Feb;1020
1998 Mar;1156
1998 Apr;1028
1998 May;1034
1998 Jun;1129
1998 Jul;1088
1998 Aug;978
1998 Sep;1081
1998 Oct;1109
1998 Nov;1081
1998 Dec;961
1999 Jan;917
1999 Feb;961
1999 Mar;1101
1999 Apr;984
1999 May;982
1999 Jun;1063
1999 Jul;1060
1999 Aug;1004
1999 Sep;1112
1999 Oct;1075
1999 Nov;1119
1999 Dec;968
2000 Jan;970
2000 Feb;1078
2000 Mar;1187
2000 Apr;991
2000 May;1097
2000 Jun;1129
2000 Jul;1056
2000 Aug;1069
2000 Sep;1089
2000 Oct;1112
2000 Nov;1132
2000 Dec;936
2001 Jan;1032
2001 Feb;1025
2001 Mar;1172
2001 Apr;1011
2001 May;1118
2001 Jun;1119
2001 Jul;1081
2001 Aug;1068
2001 Sep;1020
2001 Oct;1115
2001 Nov;1091
2001 Dec;922
2002 Jan;1040
2002 Feb;1052
2002 Mar;1105
2002 Apr;1085
2002 May;1089
2002 Jun;946
2002 Jul;1100
2002 Aug;1015
2002 Sep;1046
2002 Oct;1126
2002 Nov;1074
2002 Dec;924
2003 Jan;970
2003 Feb;999
2003 Mar;1121
2003 Apr;1042
2003 May;1048
2003 Jun;1072
2003 Jul;1100
2003 Aug;996
2003 Sep;1097
2003 Oct;1143
2003 Nov;1066
2003 Dec;981
2004 Jan;992
2004 Feb;1030
2004 Mar;1221
2004 Apr;1067
2004 May;1084
2004 Jun;1101
2004 Jul;1082
2004 Aug;1004
2004 Sep;1096
2004 Oct;1067
2004 Nov;1148
2004 Dec;952
2005 Jan;930
2005 Feb;1016
2005 Mar;1139
2005 Apr;1056
2005 May;1106
2005 Jun;1129
2005 Jul;1069
2005 Aug;1050
2005 Sep;1129
2005 Oct;1123
2005 Nov;1170
2005 Dec;1004
2006 Jan;1038
2006 Feb;1051
2006 Mar;1231
2006 Apr;1034
2006 May;1124
2006 Jun;1182
2006 Jul;1083
2006 Aug;1106
2006 Sep;1122
2006 Oct;1168
2006 Nov;1167
2006 Dec;977
2007 Jan;1092
2007 Feb;1081
2007 Mar;1219
2007 Apr;1075
2007 May;1178
2007 Jun;1173
2007 Jul;1157
2007 Aug;1128
2007 Sep;1111
2007 Oct;1207
2007 Nov;1195
2007 Dec;961
2008 Jan;1060
2008 Feb;1125
2008 Mar;1141
2008 Apr;1132
2008 May;1106
2008 Jun;1133
2008 Jul;1135
2008 Aug;1039
2008 Sep;1123
2008 Oct;1111
2008 Nov;993
2008 Dec;870
2009 Jan;844
2009 Feb;861
2009 Mar;976
2009 Apr;861
2009 May;879
2009 Jun;941
2009 Jul;908
2009 Aug;814
2009 Sep;910
2009 Oct;951
2009 Nov;904
2009 Dec;790
2010 Jan;754
2010 Feb;820
2010 Mar;974
2010 Apr;888
2010 May;887
2010 Jun;995
2010 Jul;990
2010 Aug;917
2010 Sep;998
2010 Oct;972
2010 Nov;1023
2010 Dec;889
2011 Jan;826
2011 Feb;875
2011 Mar;1077
2011 Apr;879
2011 May;990
2011 Jun;1057
2011 Jul;955
2011 Aug;942
2011 Sep;1019
2011 Oct;984
2011 Nov;995
2011 Dec;888
2012 Jan;901
2012 Feb;942
2012 Mar;1086
2012 Apr;915
2012 May;1033
2012 Jun;971
2012 Jul;1028
2012 Aug;992
2012 Sep;1013
2012 Oct;1076
2012 Nov;1024
2012 Dec;849
2013 Jan;875
2013 Feb;865
2013 Mar;1023
2013 Apr;956
2013 May;941
2013 Jun;943
2013 Jul;985
2013 Aug;891
2013 Sep;1006
2013 Oct;1069
2013 Nov;982
2013 Dec;900
2014 Jan;899
2014 Feb;898
2014 Mar;1038
2014 Apr;947
2014 May;947
2014 Jun;1029
2014 Jul;1009
2014 Aug;924
2014 Sep;1033
2014 Oct;1042
2014 Nov;999
2014 Dec;934
2015 Jan;897
2015 Feb;939
2015 Mar;1114
2015 Apr;989
2015 May;936
2015 Jun;1104
2015 Jul;1024
2015 Aug;925
2015 Sep;1060
2015 Oct;1046
2015 Nov;1008
2015 Dec;958
2016 Jan;880
2016 Feb;980
